day_ind,temp,wx_icon,icon_extd,wx_phrase,dewPt,heat_index,rh,pressure,vis,wc,wdir_cardinal,wspd,uv_desc,feels_like,uv_index,clds,date
D,-6,28,2800,Mostly Cloudy,-13,-6,71,25.55,3,-6,VAR,2,Low,-6,0,BKN,12/8/20 3:00 PM
D,-6,28,2800,Mostly Cloudy,-13,-6,71,25.55,3,-6,CALM,0,Low,-6,0,BKN,12/8/20 2:00 PM
D,-8,22,2200,Smoke,-15,-8,71,25.58,3,-8,CALM,0,Low,-8,1,CLR,12/8/20 1:00 PM
D,-11,22,2200,Smoke,-18,-11,70,25.6,2,-11,VAR,2,Low,-11,1,CLR,12/8/20 12:00 PM
D,-17,22,2200,Smoke,-24,-17,70,25.6,2,-17,VAR,2,Low,-17,1,CLR,12/8/20 11:00 AM
D,-22,22,2200,Smoke,-29,-22,69,25.63,2,-22,VAR,2,Low,-22,0,CLR,12/8/20 10:00 AM
D,-33,22,2200,Smoke,-40,-33,68,25.63,2,-33,VAR,2,Low,-33,0,CLR,12/8/20 9:00 AM
D,-31,34,3400,Fair,-38,-31,68,25.66,3,-31,VAR,2,Low,-31,0,CLR,12/8/20 8:00 AM
N,-29,33,3300,Fair,-38,-29,62,25.66,4,-29,VAR,2,Low,-29,0,CLR,12/8/20 7:00 AM
N,-29,33,3300,Fair,-38,-29,62,25.66,4,-44,VAR,4,Low,-44,0,CLR,12/8/20 6:00 AM
N,-26,33,3300,Fair,-31,-26,76,25.68,4,-26,VAR,2,Low,-26,0,CLR,12/8/20 5:00 AM
N,-26,33,3300,Fair,-33,-26,69,25.71,6,-26,VAR,2,Low,-26,0,CLR,12/8/20 4:00 AM
N,-29,33,3300,Fair,-36,-29,68,25.71,6,-29,CALM,0,Low,-29,0,CLR,12/8/20 3:00 AM
N,-27,33,3300,Fair,-35,-27,69,25.73,6,-42,S,4,Low,-42,0,CLR,12/8/20 2:00 AM
N,-27,33,3300,Fair,-35,-27,69,25.76,6,-27,CALM,0,Low,-27,0,CLR,12/8/20 1:00 AM
N,-24,33,3300,Fair,-31,-24,69,25.76,6,-24,VAR,2,Low,-24,0,CLR,12/8/20 12:00 AM
N,-24,33,3300,Fair,-31,-24,69,25.78,6,-24,VAR,2,Low,-24,0,CLR,12/7/20 11:00 PM
N,-18,33,3300,Fair,-26,-18,70,25.81,6,-18,VAR,2,Low,-18,0,CLR,12/7/20 10:00 PM
N,-20,33,3300,Fair,-26,-20,76,25.81,6,-20,VAR,2,Low,-20,0,CLR,12/7/20 9:00 PM
N,-20,33,3300,Fair,-27,-20,69,25.81,6,-20,VAR,2,Low,-20,0,CLR,12/7/20 8:00 PM
N,-20,33,3300,Fair,-26,-20,76,25.81,6,-33,SSE,4,Low,-33,0,CLR,12/7/20 7:00 PM
N,-20,33,3300,Fair,-27,-20,69,25.83,6,-20,CALM,0,Low,-20,0,CLR,12/7/20 6:00 PM
D,-9,34,3400,Fair,-15,-9,77,25.86,6,-9,CALM,0,Low,-9,0,CLR,12/7/20 5:00 PM
D,-4,34,3400,Fair,-11,-4,71,25.86,6,-4,CALM,0,Low,-4,0,CLR,12/7/20 4:00 PM
D,-6,34,3400,Fair,-11,-6,77,25.86,6,-6,VAR,2,Low,-6,0,CLR,12/7/20 3:00 PM
D,-6,34,3400,Fair,-11,-6,77,25.88,6,-6,VAR,2,Low,-6,1,CLR,12/7/20 2:00 PM
D,-8,34,3400,Fair,-13,-8,77,25.88,6,-8,VAR,2,Low,-8,1,CLR,12/7/20 1:00 PM
D,-13,34,3400,Fair,-18,-13,77,25.91,4,-13,VAR,2,Low,-13,1,CLR,12/7/20 12:00 PM
D,-17,34,3400,Fair,-24,-17,70,25.93,4,-17,VAR,2,Low,-17,1,CLR,12/7/20 11:00 AM
D,-18,34,3400,Fair,-26,-18,70,25.93,4,-18,VAR,2,Low,-18,0,CLR,12/7/20 10:00 AM
D,-26,34,3400,Fair,-33,-26,69,25.93,4,-26,CALM,0,Low,-26,0,CLR,12/7/20 9:00 AM
D,-24,34,3400,Fair,-31,-24,69,25.93,4,-24,VAR,2,Low,-24,0,CLR,12/7/20 8:00 AM
N,-26,33,3300,Fair,-33,-26,69,25.93,6,-40,SSE,4,Low,-40,0,CLR,12/7/20 7:00 AM
N,-26,33,3300,Fair,-33,-26,69,25.93,6,-26,VAR,2,Low,-26,0,CLR,12/7/20 6:00 AM
N,-22,33,3300,Fair,-29,-22,69,25.96,6,-22,VAR,2,Low,-22,0,CLR,12/7/20 5:00 AM
N,-18,29,2900,Partly Cloudy,-26,-18,70,25.96,6,-18,VAR,2,Low,-18,0,SCT,12/7/20 4:00 AM
N,-17,29,2900,Partly Cloudy,-22,-17,76,25.98,6,-17,VAR,2,Low,-17,0,SCT,12/7/20 3:00 AM
N,-15,29,2900,Partly Cloudy,-22,-15,70,25.98,6,-15,VAR,2,Low,-15,0,SCT,12/7/20 2:00 AM
N,-15,29,2900,Partly Cloudy,-22,-15,70,25.98,6,-15,VAR,2,Low,-15,0,SCT,12/7/20 1:00 AM
N,-17,29,2900,Partly Cloudy,-22,-17,76,25.98,6,-17,CALM,0,Low,-17,0,SCT,12/7/20 12:00 AM
N,-18,29,2900,Partly Cloudy,-26,-18,70,25.98,6,-18,CALM,0,Low,-18,0,SCT,12/6/20 11:00 PM
N,-17,33,3300,Fair,-22,-17,76,26.01,6,-17,CALM,0,Low,-17,0,CLR,12/6/20 10:00 PM
N,-18,33,3300,Fair,-24,-18,76,26.01,4,-18,VAR,2,Low,-18,0,CLR,12/6/20 9:00 PM
N,-22,33,3300,Fair,-29,-22,69,26.01,6,-35,SE,4,Low,-35,0,CLR,12/6/20 8:00 PM
N,-18,33,3300,Fair,-26,-18,70,26.01,6,-18,VAR,2,Low,-18,0,CLR,12/6/20 7:00 PM
N,-17,33,3300,Fair,-22,-17,76,26.01,6,-33,S,7,Low,-33,0,CLR,12/6/20 6:00 PM
D,-13,34,3400,Fair,-20,-13,70,26.01,6,-28,S,7,Low,-28,0,CLR,12/6/20 5:00 PM
D,-6,34,3400,Fair,-11,-6,77,25.98,6,-16,SSE,4,Low,-16,0,CLR,12/6/20 4:00 PM
D,0,34,3400,Fair,-6,0,78,25.98,6,0,VAR,2,Low,0,0,CLR,12/6/20 3:00 PM
D,0,34,3400,Fair,-8,0,72,25.98,6,-10,VAR,4,Low,-10,1,CLR,12/6/20 2:00 PM
D,3,34,3400,Fair,-2,3,78,25.98,6,3,CALM,0,Low,3,1,CLR,12/6/20 1:00 PM
D,-4,34,3400,Fair,-9,-4,78,25.98,6,-4,VAR,2,Low,-4,1,CLR,12/6/20 12:00 PM
D,-9,34,3400,Fair,-17,-9,71,25.98,6,-24,S,7,Low,-24,1,CLR,12/6/20 11:00 AM
D,-17,34,3400,Fair,-24,-17,70,25.98,6,-29,SE,4,Low,-29,0,CLR,12/6/20 10:00 AM
D,-17,34,3400,Fair,-22,-17,76,25.96,6,-29,VAR,4,Low,-29,0,CLR,12/6/20 9:00 AM
D,-11,34,3400,Fair,-17,-11,77,25.96,6,-11,CALM,0,Low,-11,0,CLR,12/6/20 8:00 AM
N,-9,33,3300,Fair,-15,-9,77,25.93,6,-9,VAR,2,Low,-9,0,CLR,12/6/20 7:00 AM
N,-6,33,3300,Fair,-11,-6,77,25.91,6,-6,VAR,2,Low,-6,0,CLR,12/6/20 6:00 AM
N,-4,33,3300,Fair,-9,-4,78,25.91,6,-4,VAR,2,Low,-4,0,CLR,12/6/20 5:00 AM
N,-11,33,3300,Fair,-17,-11,77,25.88,6,-11,VAR,2,Low,-11,0,CLR,12/6/20 4:00 AM
N,-6,33,3300,Fair,-11,-6,77,25.88,6,-6,VAR,2,Low,-6,0,CLR,12/6/20 3:00 AM
